,vehicle_id,time,x,y
102205,flow_0.86,1607,501.6,22.08558708778673
102208,flow_0.89,1607,31.373711497336632,-1.6
102210,flow_1.84,1607,933.533264287395,-4.8
102211,flow_1.85,1607,905.2404432990612,-8.0
102275,flow_0.83,1608,501.6,193.8650624035988
102278,flow_0.86,1608,501.6,32.632792365770726
102281,flow_0.89,1608,42.21888368094007,-1.6
102283,flow_1.84,1608,948.883047781376,-4.8
102284,flow_1.85,1608,920.4068330327744,-8.0
102347,flow_0.83,1609,501.6,207.17616575005636
102350,flow_0.86,1609,501.6,44.99948125821155
102353,flow_0.89,1609,52.80183900993582,-1.6
102355,flow_1.84,1609,964.4859586314636,-4.8
102356,flow_1.85,1609,935.619969911428,-8.0
102417,flow_0.83,1610,504.8,221.11203417335136
102420,flow_0.86,1610,501.6,58.54915331384035
102423,flow_0.89,1610,63.52026486273319,-1.6
102425,flow_1.84,1610,979.3081633287658,-4.8
102426,flow_1.85,1610,950.5174199078408,-8.0
102487,flow_0.83,1611,504.8,234.5011716098035
102490,flow_0.86,1611,501.6,73.09007085191205
102493,flow_0.89,1611,73.34160770232852,-1.6
102494,flow_1.84,1611,994.7555706717086,-4.8
102495,flow_1.85,1611,965.62846436977,-8.0
102554,flow_0.83,1612,504.8,248.13999090758173
102557,flow_0.86,1612,501.6,87.34235766577437
102560,flow_0.89,1612,83.8686493746304,-1.6
102561,flow_1.85,1612,980.1538893387542,-8.0
102619,flow_0.83,1613,504.8,262.3783255691901
102622,flow_0.86,1613,501.6,100.97639060786148
102625,flow_0.89,1613,94.20722158155266,-1.6
102626,flow_1.85,1613,995.6145214738884,-8.0
102683,flow_0.83,1614,504.8,276.5945308154736
102686,flow_0.86,1614,501.6,115.58779023143867
102689,flow_0.89,1614,104.66533604950172,-1.6
102745,flow_0.83,1615,504.8,290.7633130614959
102748,flow_0.86,1615,501.6,129.9032975391457
102751,flow_0.89,1615,115.48115899533158,-1.6
102806,flow_0.83,1616,504.8,304.1895866521508
102809,flow_0.86,1616,501.6,143.5773293819369
102812,flow_0.89,1616,125.6542580015238,-4.8
102863,flow_0.83,1617,504.8,318.4135045714344
102866,flow_0.86,1617,501.6,158.17137666134852
102869,flow_0.89,1617,135.7917230456734,-4.8
102920,flow_0.83,1618,504.8,332.8316381457421
102923,flow_0.86,1618,501.6,172.1853868734418
102926,flow_0.89,1618,145.9944177848339,-4.8
102977,flow_0.83,1619,504.8,346.82392116237423
102980,flow_0.86,1619,501.6,186.78998012614693
102983,flow_0.89,1619,156.98143536576256,-4.8
103034,flow_0.83,1620,504.8,360.4024651373715
103037,flow_0.86,1620,501.6,201.08059083955405
103040,flow_0.89,1620,167.50133064695487,-4.8
103041,flow_0.90,1620,5.1,-4.8
103100,flow_0.83,1621,504.8,374.38302554583686
103103,flow_0.86,1621,501.6,215.07040790798905
103106,flow_0.89,1621,178.13010084126594,-4.8
103107,flow_0.90,1621,7.279341605887748,-4.8
103166,flow_0.83,1622,504.8,388.184381238444
103169,flow_0.86,1622,501.6,229.05159864133304
103172,flow_0.89,1622,188.79219499202097,-4.8
103173,flow_0.90,1622,10.918494860315697,-4.8
103232,flow_0.83,1623,504.8,401.6907068994884
103235,flow_0.86,1623,501.6,243.2736297618351
103238,flow_0.89,1623,198.8964373228025,-4.8
103239,flow_0.90,1623,16.39555567561183,-4.8
103298,flow_0.83,1624,504.8,416.1678443980952
103301,flow_0.86,1624,501.6,257.5147335869597
103304,flow_0.89,1624,208.8501310734815,-4.8
103305,flow_0.90,1624,23.21311494803522,-4.8
103363,flow_0.83,1625,504.8,429.5864944022956
103366,flow_0.86,1625,501.6,271.847776040201
103369,flow_0.89,1625,219.58174924361103,-4.8
103370,flow_0.90,1625,32.30854231258854,-4.8
103428,flow_0.83,1626,504.8,443.4919255533856
103431,flow_0.86,1626,501.6,286.0905992102917
103434,flow_0.89,1626,230.15472981791197,-4.8
103435,flow_0.90,1626,43.76068176059052,-4.8
103493,flow_0.83,1627,504.8,457.1925291388689
103496,flow_0.86,1627,501.6,299.593529707542
103499,flow_0.89,1627,240.62112932522163,-1.6
103500,flow_0.90,1627,56.30884514585589,-4.8
103558,flow_0.83,1628,504.8,470.5947595927818
103561,flow_0.86,1628,501.6,313.23188845148496
103564,flow_0.89,1628,250.82994176446908,-1.6
103565,flow_0.90,1628,68.92439908563595,-4.8
103623,flow_0.83,1629,504.8,485.0949275640052
103626,flow_0.86,1629,501.6,326.7897497131952
103629,flow_0.89,1629,260.65353247917835,-1.6
103630,flow_0.90,1629,81.10789846152488,-4.8
103688,flow_0.83,1630,504.8,498.9451328659436
103691,flow_0.86,1630,501.6,340.50816218530514
103694,flow_0.89,1630,270.4886937811064,-1.6
103695,flow_0.90,1630,93.33478102225752,-4.8
103754,flow_0.86,1631,501.6,354.5363856710727
103757,flow_0.89,1631,280.7769885897814,-1.6
103758,flow_0.90,1631,105.86930028272252,-4.8
103816,flow_0.86,1632,504.8,368.0459837389996
